experiment_name,n_runs,successful_runs,failed_runs,success_rate,acc_mean,acc_std,acc_median,acc_min,acc_max,acc_cv,acc_ci95_lower,acc_ci95_upper,acc_p25,acc_p50,acc_p75,acc_p90,acc_p95,acc_p99,time_mean,time_std,time_median,time_min,time_max,time_total_seconds,time_total_hours
Baseline Instance 1,200,200,0,1.0000,0.940247,0.001200,0.940300,0.936700,0.942900,0.001276,0.940080,0.940415,0.939400,0.940300,0.941025,0.941700,0.942005,0.942700,4.4851,0.0335,4.4986,4.3462,4.5162,897.02,0.2492
Baseline Instance 2,200,200,0,1.0000,0.940319,0.001211,0.940200,0.936500,0.943800,0.001288,0.940150,0.940488,0.939500,0.940200,0.941100,0.941800,0.942305,0.943404,5.8553,0.0769,5.8897,5.5900,6.0105,1171.05,0.3253
Modified Instance 1,1000,1000,0,1.0000,0.939642,0.001279,0.939600,0.935600,0.944600,0.001361,0.939563,0.939722,0.938800,0.939600,0.940500,0.941300,0.941700,0.942700,4.3998,0.0074,4.3987,4.3780,4.5245,4399.83,1.2222
Modified Instance 2,1000,1000,0,1.0000,0.939718,0.001256,0.939700,0.935600,0.944200,0.001336,0.939640,0.939796,0.938800,0.939700,0.940500,0.941300,0.941800,0.942800,5.6509,0.2015,5.7004,4.8740,6.0780,5650.90,1.5697
Baseline Pooled,400,400,0,1.0000,0.940283,0.001204,0.940300,0.936500,0.943800,0.001281,0.940165,0.940402,0.939500,0.940300,0.941100,0.941800,0.942300,0.942904,5.1702,0.6885,5.0531,4.3462,6.0105,2068.07,0.5745
Modified Pooled,2000,2000,0,1.0000,0.939680,0.001268,0.939700,0.935600,0.944600,0.001349,0.939624,0.939736,0.938800,0.939700,0.940500,0.941300,0.941800,0.942800,5.0254,0.6417,4.6993,4.3780,6.0780,10050.72,2.7919
