Experiment,Metric,Mean,Std,Min,Max,CI_95_Lower,CI_95_Upper
Baseline,val_loss,3.3005,0.0008,3.2996,3.3011,3.2985,3.3026
Baseline,train_loss,3.6367,0.0065,3.6303,3.6432,3.6206,3.6527
Baseline,time,1588.0025,12.2604,1574.7721,1598.9806,1557.5459,1618.4592
Baseline,memory,30602.0000,0.0000,30602.0000,30602.0000,30602.0000,30602.0000
PaLM-Parallel,val_loss,3.3348,0.0013,3.3333,3.3359,3.3315,3.3381
PaLM-Parallel,train_loss,3.6699,0.0019,3.6687,3.6720,3.6653,3.6745
PaLM-Parallel,time,1545.6882,20.0862,1532.6732,1568.8213,1495.7913,1595.5850
PaLM-Parallel,memory,28295.0000,0.0000,28295.0000,28295.0000,28295.0000,28295.0000
